Ticker,Quarter,Depreciation,EPS in Rs,Expenses +,Interest,Net Profit +,Other Income +,Profit before tax,Tax %,Average Stock Price
AARTIIND.NS,2022-06-01,72.0,3.75,1326.0,45.0,136.0,0.0,167.0,19.0,741.980470687624
AARTIIND.NS,2022-09-01,73.0,3.42,1418.0,44.0,124.0,0.0,150.0,17.0,753.1021511939264
AARTIIND.NS,2022-12-01,82.0,3.77,1379.0,47.0,137.0,0.0,160.0,15.0,580.2571914915054
AARTIIND.NS,2023-03-01,84.0,4.11,1403.0,33.0,149.0,0.0,136.0,-10.0,524.2930720011393
AARTIIND.NS,2023-06-01,89.0,1.93,1214.0,40.0,70.0,0.0,71.0,1.0,479.54361486434937
AARTIIND.NS,2023-09-01,93.0,2.51,1221.0,58.0,91.0,0.0,82.0,-11.0,495.94290822347006
AARTIIND.NS,2023-12-01,97.0,3.42,1473.0,54.0,124.0,8.0,116.0,-7.0,627.5046524540071
AARTIIND.NS,2024-03-01,98.0,3.64,1489.0,59.0,132.0,-1.0,126.0,-5.0,675.1451633259402
AARTIIND.NS,2024-06-01,102.0,3.78,1546.0,64.0,137.0,6.0,145.0,6.0,679.4920230988533
AARTIIND.NS,2024-09-01,108.0,1.43,1431.0,62.0,52.0,7.0,34.0,-53.0,524.714855071037
AARTIIND.NS,2024-12-01,111.0,1.27,1608.0,85.0,46.0,1.0,40.0,-15.0,427.6349558830261
AARTIIND.NS,2025-03-01,113.0,2.65,1687.0,64.0,96.0,3.0,88.0,-9.0,421.22112157789326
AARTIIND.NS,2025-06-01,114.0,1.19,1463.0,60.0,43.0,4.0,42.0,-2.0,433.8395109176636
ACC.NS,2022-06-01,165.0,12.11,4042.0,15.0,227.0,58.0,305.0,25.0,2158.795669797867
ACC.NS,2022-09-01,173.0,-4.65,3971.0,18.0,-87.0,56.0,-118.0,-26.0,2388.8123582409276
ACC.NS,2022-12-01,173.0,6.03,4158.0,19.0,113.0,-35.0,152.0,26.0,2224.148195296999
ACC.NS,2023-03-01,177.0,12.55,4322.0,15.0,236.0,55.0,331.0,29.0,1736.7191263834636
ACC.NS,2023-06-01,200.0,24.82,4430.0,25.0,466.0,80.0,626.0,25.0,1863.6124782562256
ACC.NS,2023-09-01,213.0,20.65,3885.0,29.0,388.0,212.0,519.0,25.0,1934.5814961751303
ACC.NS,2023-12-01,235.0,28.63,4010.0,34.0,538.0,94.0,729.0,26.0,2350.8021771830895
ACC.NS,2024-03-01,237.0,50.23,4572.0,67.0,943.0,350.0,883.0,-7.0,2498.0348086599574
ACC.NS,2024-06-01,235.0,19.15,4520.0,33.0,360.0,73.0,484.0,26.0,2517.9015089465724
ACC.NS,2024-09-01,242.0,10.63,4178.0,33.0,200.0,124.0,284.0,30.0,2326.3874590473793
ACC.NS,2024-12-01,260.0,58.14,4812.0,28.0,1092.0,649.0,1476.0,26.0,2025.7906112670898
ACC.NS,2025-03-01,265.0,39.99,5284.0,14.0,751.0,330.0,882.0,15.0,1916.5348479707363
ACC.NS,2025-06-01,255.0,19.99,5309.0,30.0,375.0,70.0,563.0,33.0,1874.1574153900146
ADANIENSOL.NS,2022-06-01,384.0,1.67,2459.0,740.0,168.0,653.0,202.0,17.0,
ADANIENSOL.NS,2022-09-01,398.0,1.85,2088.0,714.0,194.0,198.0,250.0,22.0,
ADANIENSOL.NS,2022-12-01,410.0,4.26,2074.0,697.0,478.0,230.0,600.0,20.0,
