Metric,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Ticker,Dec 2011,Mar 2019,Jun 2019,Sep 2019,Mar 2022,Jun 2018,Sep 2018,Dec 2018,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Dec 2005,Dec 2006,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2012,Jun 2012,Sep 2012,Dec 2012,Mar 2013,Jun 2013,Sep 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015
Sales +,1610,1685,1668,1656,1414,1454,1732,1773,1851,1628,1843,1949,1675,AARTIIND.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,1326,1418,1379,1403,1214,1221,1473,1489,1546,1431,1608,1687,1463,AARTIIND.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,284,267,289,253,200,233,259,284,305,197,235,262,212,AARTIIND.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,18%,16%,17%,15%,14%,16%,15%,16%,16%,12%,13%,13%,13%,AARTIIND.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,0,0,0,0,0,0,8,-1,6,7,1,3,4,AARTIIND.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,45,44,47,33,40,58,54,59,64,62,85,64,60,AARTIIND.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,72,73,82,84,89,93,97,98,102,108,111,113,114,AARTIIND.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,167,150,160,136,71,82,116,126,145,34,40,88,42,AARTIIND.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,19%,17%,15%,-10%,1%,-11%,-7%,-5%,6%,-53%,-15%,-9%,-2%,AARTIIND.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,136,124,137,149,70,91,124,132,137,52,46,96,43,AARTIIND.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
