,Normalized EBITDA,Reconciled Depreciation,EBITDA,EBIT,Interest Expense,Diluted Average Shares,Diluted EPS,Net Income,Tax Provision,Other Non Operating Income Expenses,Operating Income,Operating Expense,Other Operating Expenses,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Ticker,Sector
2025-06-30,2160000000.0,1140000000.0,2160000000.0,1020000000.0,600000000.0,361344538.0,1.19,430000000.0,-20000000.0,40000000.0,810000000.0,4720000000.0,2490000000.0,5530000000.0,11220000000.0,16750000000.0,16750000000.0,AARTIIND.NS,Chemicals
2025-03-31,2374600000.0,1132700000.0,2268000000.0,1135300000.0,253000000.0,,,958700000.0,-76300000.0,-331800000.0,1868400000.0,-3518700000.0,3300000000.0,-1650300000.0,19733500000.0,18083200000.0,18083200000.0,AARTIIND.NS,Chemicals
2024-12-31,2360000000.0,1110000000.0,2360000000.0,1250000000.0,850000000.0,362204724.0,1.27,460000000.0,-60000000.0,50000000.0,1210000000.0,4890000000.0,2730000000.0,6100000000.0,12300000000.0,18400000000.0,18400000000.0,AARTIIND.NS,Chemicals
2024-09-30,2020000000.0,1080000000.0,2040000000.0,960000000.0,620000000.0,361111111.0,1.44,520000000.0,-180000000.0,50000000.0,880000000.0,5230000000.0,3100000000.0,6110000000.0,10170000000.0,16280000000.0,16280000000.0,AARTIIND.NS,Chemicals
2024-06-30,3110000000.0,1020000000.0,3110000000.0,2090000000.0,640000000.0,363395225.0,3.77,1370000000.0,80000000.0,60000000.0,1980000000.0,4960000000.0,2740000000.0,6940000000.0,11570000000.0,18510000000.0,18510000000.0,AARTIIND.NS,Chemicals
2025-06-30,5138400000.0,355400000.0,5138400000.0,4783000000.0,41900000.0,211908375.0,16.598683,3517400000.0,1220300000.0,997500000.0,3785500000.0,8046100000.0,5839900000.0,11831600000.0,19613600000.0,31445200000.0,31445200000.0,ABB.NS,Industrials
2025-03-31,6746000000.0,337600000.0,6746000000.0,6408400000.0,47100000.0,211983028.0,22.39,4746300000.0,1620100000.0,923300000.0,5485100000.0,7491700000.0,4901000000.0,12976800000.0,18420000000.0,31396800000.0,31396800000.0,ABB.NS,Industrials
2024-12-31,7429100000.0,337000000.0,7429100000.0,7092100000.0,40800000.0,,,5284100000.0,1732200000.0,-2566700000.0,6575600000.0,2718400000.0,-1785000000.0,9294000000.0,23974800000.0,33268800000.0,33268800000.0,ABB.NS,Industrials
2024-09-30,6331100000.0,328300000.0,6331100000.0,6002800000.0,30000000.0,211856662.0,20.79,4404500000.0,1568100000.0,928900000.0,5073900000.0,7326700000.0,5203300000.0,12400600000.0,16485300000.0,28885900000.0,28885900000.0,ABB.NS,Industrials
2024-06-30,6292400000.0,309700000.0,6292400000.0,5982700000.0,45100000.0,211908375.0,20.928385,4434900000.0,1511300000.0,867500000.0,5115200000.0,6791100000.0,4675100000.0,11906300000.0,16178500000.0,28084800000.0,28084800000.0,ABB.NS,Industrials
2025-06-30,5184300000.0,194800000.0,5184300000.0,4989500000.0,58200000.0,21249927.0,172.17,3658600000.0,1272700000.0,728400000.0,4261100000.0,3701200000.0,1826300000.0,7962300000.0,9421200000.0,17383500000.0,17383500000.0,ABBOTINDIA.BO,Healthcare
2025-03-31,5045600000.0,179300000.0,5045600000.0,4866300000.0,39200000.0,,,3670400000.0,1156700000.0,-1980500000.0,4324600000.0,2997300000.0,-2020900000.0,7321900000.0,8702200000.0,16024100000.0,16024100000.0,ABBOTINDIA.BO,Healthcare
2024-12-31,5078400000.0,179900000.0,5078400000.0,4898500000.0,22600000.0,21249853.0,169.78,3607800000.0,1268100000.0,717500000.0,4181000000.0,3034800000.0,1508100000.0,7215800000.0,8927000000.0,16142800000.0,16142800000.0,ABBOTINDIA.BO,Healthcare
2024-09-30,4994400000.0,175100000.0,4994400000.0,4819300000.0,25000000.0,21249704.0,168.76,3586100000.0,1208200000.0,604800000.0,4214510000.0,3094600000.0,1445500000.0,7309110000.0,9017590000.0,16326700000.0,16326700000.0,ABBOTINDIA.BO,Healthcare
2024-06-30,4583400000.0,183700000.0,4583400000.0,4399700000.0,27500000.0,21249676.0,154.36,3280100000.0,1092100000.0,673300000.0,3726400000.0,3386100000.0,1591800000.0,7112500000.0,8463600000.0,15576100000.0,15576100000.0,ABBOTINDIA.BO,Healthcare
2025-06-30,8479800000.0,2545800000.0,8479800000.0,5934000000.0,304500000.0,188254764.0,19.94,3753800000.0,1875300000.0,683500000.0,5234300000.0,30514400000.0,14983800000.0,35748700000.0,24612400000.0,60361100000.0,60361100000.0,ACC.NS,Materials
2025-03-31,9355700000.0,2648800000.0,11606900000.0,8958100000.0,136300000.0,,,7510300000.0,1311400000.0,-8560500000.0,5653300000.0,-17496100000.0,-34686200000.0,-11842800000.0,70590000000.0,58747200000.0,58747200000.0,ACC.NS,Materials
2024-12-31,17642800000.0,2595900000.0,17642800000.0,15046900000.0,281900000.0,188294239.0,57.98,10917300000.0,3847100000.0,6482400000.0,8561300000.0,21573400000.0,13928700000.0,30134700000.0,21938200000.0,52072900000.0,52072900000.0,ACC.NS,Materials
2024-09-30,5946000000.0,2423000000.0,5596000000.0,3173000000.0,332600000.0,189790875.0,10.52,1996600000.0,843400000.0,1585900000.0,1940500000.0,26281100000.0,12730200000.0,28221600000.0,17913600000.0,46135200000.0,46135200000.0,ACC.NS,Materials
2024-06-30,7517400000.0,2345400000.0,7517400000.0,5172000000.0,331400000.0,187441376.0,19.19,3597000000.0,1243200000.0,717200000.0,4445400000.0,29176500000.0,15196900000.0,33621900000.0,17508600000.0,51130500000.0,51130500000.0,ACC.NS,Materials
2025-06-30,20169000000.0,4648200000.0,20169000000.0,15520800000.0,8940300000.0,1200187354.0,4.27,5124800000.0,1171200000.0,-2976800000.0,18497600000.0,13119400000.0,6158900000.0,31617000000.0,36575800000.0,68192800000.0,68192800000.0,ADANIENSOL.NS,Utilities
2025-03-31,19913200000.0,4616500000.0,21377800000.0,16761300000.0,7021800000.0,,,6471500000.0,2874100000.0,-6644900000.0,18309200000.0,1070900000.0,-7067400000.0,19380100000.0,42156300000.0,61536400000.0,61536400000.0,ADANIENSOL.NS,Utilities
2024-12-31,18308700000.0,4623800000.0,18308700000.0,13684900000.0,8091200000.0,1158309278.0,4.85,5617800000.0,-660700000.0,-2944400000.0,16629300000.0,11618800000.0,4695900000.0,28248100000.0,30054500000.0,58302600000.0,58302600000.0,ADANIENSOL.NS,Utilities
2024-09-30,18912400000.0,4840700000.0,18912400000.0,14071700000.0,8129400000.0,1108308703.0,6.09,6749600000.0,-1789200000.0,1044100000.0,13027600000.0,26297100000.0,18527000000.0,39324700000.0,22512300000.0,61837000000.0,61837000000.0,ADANIENSOL.NS,Utilities
2024-06-30,17621000000.0,4978500000.0,2560800000.0,-2417700000.0,8109300000.0,1114912043.0,-7.39,-8239200000.0,1365700000.0,-4822300000.0,17464800000.0,12247700000.0,4507500000.0,29712500000.0,24073000000.0,53785500000.0,53785500000.0,ADANIENSOL.NS,Utilities
2025-06-30,32480000000.0,7670000000.0,32310000000.0,24640000000.0,15250000000.0,1673708920.0,4.26,7130000000.0,2320000000.0,2060000000.0,22750000000.0,11040000000.0,3040000000.0,33790000000.0,4210000000.0,38000000000.0,38000000000.0,ADANIGREEN.NS,Utilities
2025-03-31,23450000000.0,6720000000.0,26100000000.0,19380000000.0,10840000000.0,,,2300000000.0,1180000000.0,-6220000000.0,16330000000.0,5550000000.0,-3570000000.0,21880000000.0,7700000000.0,29580000000.0,29580000000.0,ADANIGREEN.NS,Utilities
2024-12-31,18660000000.0,6150000000.0,18500000000.0,12350000000.0,9440000000.0,1684931507.0,2.92,4920000000.0,-1090000000.0,2650000000.0,12930000000.0,8110000000.0,1650000000.0,21040000000.0,2610000000.0,23650000000.0,23650000000.0,ADANIGREEN.NS,Utilities
2024-09-30,25260000000.0,6180000000.0,24290000000.0,18110000000.0,13690000000.0,1792207792.0,1.54,2760000000.0,260000000.0,3210000000.0,16540000000.0,8130000000.0,1670000000.0,24670000000.0,5880000000.0,30550000000.0,30550000000.0,ADANIGREEN.NS,Utilities
2024-06-30,26970000000.0,5960000000.0,26500000000.0,20540000000.0,14260000000.0,1695817490.0,2.63,4460000000.0,1790000000.0,3180000000.0,17830000000.0,7920000000.0,1620000000.0,25750000000.0,2190000000.0,27940000000.0,27940000000.0,ADANIGREEN.NS,Utilities
2025-06-30,50175100000.0,,46302800000.0,46302800000.0,7826800000.0,2160749674.0,15.34,33145900000.0,5370000000.0,2960400000.0,42404200000.0,5353100000.0,5353100000.0,47757300000.0,43504100000.0,91261400000.0,91261400000.0,ADANIPORTS.NS,Industrials
2025-03-31,45057500000.0,,41159700000.0,41159700000.0,5840400000.0,,,30142200000.0,5088300000.0,-7586200000.0,38971600000.0,29349200000.0,11814900000.0,68320800000.0,16563600000.0,84884400000.0,84884400000.0,ADANIPORTS.NS,Industrials
2024-12-31,39465900000.0,,37785500000.0,37785500000.0,7586800000.0,2159605827.0,11.67,25202600000.0,5014800000.0,2233500000.0,36963000000.0,5258200000.0,5258200000.0,42221200000.0,37414300000.0,79635500000.0,79635500000.0,ADANIPORTS.NS,Industrials
2024-09-30,34640500000.0,,35737300000.0,35737300000.0,6885600000.0,2159893993.0,11.32,24450000000.0,4726300000.0,3053500000.0,32923000000.0,4292700000.0,4292700000.0,37215700000.0,33454500000.0,70670200000.0,70670200000.0,ADANIPORTS.NS,Industrials
2024-06-30,36188700000.0,,42480500000.0,42480500000.0,6554000000.0,2160187370.0,14.41,31128300000.0,4854200000.0,4945900000.0,32326100000.0,3760000000.0,3760000000.0,36086100000.0,33477100000.0,69563200000.0,69563200000.0,ADANIPORTS.NS,Industrials
2025-06-30,61498300000.0,10885900000.0,61498300000.0,50612400000.0,8569300000.0,3926751740.0,8.62,33848600000.0,8991800000.0,4645500000.0,45966900000.0,20788700000.0,7685500000.0,66755600000.0,74335900000.0,141091500000.0,141091500000.0,ADANIPOWER.NS,Utilities
2025-03-31,48436500000.0,10846500000.0,48436500000.0,37590000000.0,4977200000.0,,,26369700000.0,6620500000.0,-21565800000.0,44861400000.0,1187400000.0,-10362000000.0,46048800000.0,95612500000.0,141661300000.0,141661300000.0,ADANIPOWER.NS,Utilities
2024-12-31,61851800000.0,11700100000.0,61851800000.0,50151700000.0,9565300000.0,3985932203.0,7.67,30572100000.0,11185700000.0,11622600000.0,38529100000.0,21693100000.0,7878600000.0,60222200000.0,76489600000.0,136711800000.0,136711800000.0,ADANIPOWER.NS,Utilities
2024-09-30,59995400000.0,10585900000.0,59995400000.0,49409500000.0,8068700000.0,4058221681.0,8.21,33318000000.0,8365600000.0,7239600000.0,42169900000.0,18836500000.0,6545900000.0,61006400000.0,72382400000.0,133388800000.0,133388800000.0,ADANIPOWER.NS,Utilities
2024-06-30,67126300000.0,9956300000.0,67126300000.0,57170000000.0,8114900000.0,4025504115.0,9.72,39127900000.0,9927200000.0,5183200000.0,51986800000.0,17150400000.0,5065000000.0,69137200000.0,80419100000.0,149556300000.0,149556300000.0,ADANIPOWER.NS,Utilities
2025-06-30,1568900000.0,258670000.0,1568900000.0,1310230000.0,18280000.0,140666667.0,7.5,1055000000.0,236950000.0,171700000.0,1138530000.0,1288400000.0,420920000.0,2426930000.0,3780470000.0,6207400000.0,6207400000.0,AFFLE.NS,IT Services
2025-03-31,1528780000.0,265830000.0,1528780000.0,1262950000.0,24450000.0,,,1030650000.0,207850000.0,189100000.0,1073850000.0,1300720000.0,451650000.0,2374570000.0,3647940000.0,6022510000.0,6022510000.0,AFFLE.NS,IT Services
2024-12-31,1522910000.0,257610000.0,1522910000.0,1265300000.0,27930000.0,140368347.0,7.14,1002230000.0,235140000.0,209140000.0,1056160000.0,1329920000.0,496380000.0,2386080000.0,3630640000.0,6016720000.0,6016720000.0,AFFLE.NS,IT Services
2024-09-30,1421490000.0,250860000.0,1421490000.0,1170630000.0,35660000.0,140444275.0,6.55,919910000.0,215060000.0,288240000.0,882390000.0,1231650000.0,413630000.0,2114040000.0,3314780000.0,5428820000.0,5428820000.0,AFFLE.NS,IT Services
2024-06-30,1296080000.0,192680000.0,1296080000.0,1103400000.0,37870000.0,140340357.0,6.17,865900000.0,199630000.0,251170000.0,852230000.0,1143020000.0,364010000.0,1995250000.0,3199780000.0,5195030000.0,5195030000.0,AFFLE.NS,IT Services
2025-06-30,4203926000.0,276953000.0,4203926000.0,3926973000.0,71960000.0,93307586.0,32.69,3050225000.0,803335000.0,1083141000.0,2786750000.0,3551963000.0,2337749000.0,6338713000.0,3921419000.0,10260132000.0,10260132000.0,AIAENG.NS,Industrials
2025-03-31,3995240000.0,279450000.0,3995240000.0,3715790000.0,84547000.0,,,2852204000.0,777724000.0,921966000.0,2736763000.0,3917429000.0,2525492000.0,6654192000.0,4759093000.0,11413285000.0,11413285000.0,AIAENG.NS,Industrials
2024-12-31,3545706000.0,261893000.0,3545706000.0,3283813000.0,9901000.0,93308531.0,27.78,2592111000.0,685044000.0,673158000.0,2568838000.0,3597396000.0,2364002000.0,6166234000.0,4334273000.0,10500507000.0,10500507000.0,AIAENG.NS,Industrials
2024-09-30,3661855000.0,235751000.0,3661855000.0,3426104000.0,52651000.0,94070978.0,27.29,2567197000.0,809190000.0,901029000.0,2520847000.0,3489408000.0,2336467000.0,6010255000.0,4294802000.0,10305057000.0,10305057000.0,AIAENG.NS,Industrials
2024-06-30,3723153000.0,253645000.0,3723153000.0,3469508000.0,63814000.0,94325872.0,27.52,2595848000.0,811607000.0,820126000.0,2634975000.0,3423532000.0,2233830000.0,6058507000.0,3988871000.0,10047378000.0,10047378000.0,AIAENG.NS,Industrials
2025-06-30,3776800000.0,412900000.0,3776800000.0,3363900000.0,52600000.0,124982868.0,20.43,2553400000.0,757900000.0,-3304200000.0,6825800000.0,3441900000.0,,10267700000.0,2758800000.0,13026500000.0,13026500000.0,AJANTPHARM.BO,Healthcare
2025-03-31,3152600000.0,397800000.0,3152600000.0,2754800000.0,60700000.0,,,2252600000.0,441500000.0,-460400000.0,2843200000.0,4856900000.0,-2422500000.0,7700100000.0,3398100000.0,11098200000.0,11098200000.0,AJANTPHARM.BO,Healthcare
